ID (Last 3 digits of your SJSU one ID)	Age?	Gender	Preferred genres	Rating [Rogue One/Star Wars]	Rating [The Lord of the Rings]	Rating [Trolls]	Rating [Despicable Me]	Rating [Kubo]	Rating [The hangover]	Rating [Captain America]	Rating [The big Lebowski]	Rating [Almost famous]	Rating [The hunger games]	Rating [Pulp Fiction]	Rating [Sing]	Rating [500 days of Summer]	Rating [Twilight]	Rating [Lala Land]	Rating [A Fantastic Woman]	Rating [Loveless]	Rating [The Insult]	Rating [The Square]
213	61+	Male	Comedy, Independent, Romantic, Animation	N/A	5	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	4	N/A	N/A	N/A	N/A
111	21-30	Male	Comedy, Romantic	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
703	21-30	Male	Comedy, Action, Sci-Fi and Fantasy	N/A	5	N/A	2	N/A	3	3	5	N/A	2	4	N/A	N/A	1	4	N/A	N/A	N/A	N/A
876	21-30	Male	Comedy, Action, Sci-Fi and Fantasy	N/A	5	1	3	N/A	5	4	N/A	N/A	4	5	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A
998	21-30	Male	Comedy, Sci-Fi and Fantasy, Animation	N/A	5	N/A	4	N/A	4	N/A	5	N/A	3	5	N/A	3	1	N/A	N/A	N/A	N/A	N/A
393	21-30	Female	Comedy, Sci-Fi and Fantasy, Romantic	N/A	5	N/A	5	N/A	5	5	N/A	N/A	5	N/A	N/A	5	4	4	N/A	N/A	N/A	N/A
846	21-30	Male	Comedy, Sci-Fi and Fantasy, Romantic	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
52	21-30	Male	Comedy, Action, Sci-Fi and Fantasy	N/A	5	N/A	5	N/A	4	4	N/A	N/A	5	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A
867	21-30	Male	Comedy, Action, Sci-Fi and Fantasy, Animation	N/A	5	N/A	4	N/A	5	5	N/A	N/A	N/A	4	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
649	21-30	Female	Comedy, Sci-Fi and Fantasy, Romantic, Animation, Drama	4	4	N/A	4	N/A	4	4	N/A	N/A	4	N/A	N/A	N/A	3	3	N/A	N/A	N/A	N/A
332	21-30	Female	Comedy, Action, Romantic, Animation	N/A	N/A	4	3	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
153	21-30	Female	Sci-Fi and Fantasy	5	N/A	N/A	4	N/A	N/A	3	N/A	3	5	N/A	N/A	N/A	4	5	N/A	N/A	N/A	N/A
785	21-30	Female	Comedy, Sci-Fi and Fantasy, Romantic	2	4	N/A	3	N/A	3	3	N/A	4	3	N/A	N/A	5	5	N/A	N/A	4	N/A	N/A
13855764	21-30	Male	Action, Sci-Fi and Fantasy, Independent, Animation	4	5	N/A	4	N/A	3	4	4	N/A	4	5	N/A	3	2	3	N/A	N/A	N/A	N/A
462	21-30	Female	Comedy, Action, Sci-Fi and Fantasy, Romantic	5	5	N/A	5	N/A	N/A	4	N/A	N/A	4	N/A	N/A	3	2	1	3	N/A	N/A	N/A
9521	31-40	Female	Comedy, Sci-Fi and Fantasy, Romantic, Drama	N/A	5	2	4	3	3	3	3	2	2	3	2	4	1	3	N/A	N/A	N/A	N/A
272	21-30	Female	Comedy, Sci-Fi and Fantasy, Romantic, Animation	N/A	2	2	5	N/A	5	4	N/A	N/A	3	N/A	5	N/A	1	N/A	3	N/A	N/A	N/A
126	21-30	Female	Comedy, Action, Sci-Fi and Fantasy, Animation	4	5	4	4	5	4	N/A	N/A	N/A	4	5	N/A	3	2	N/A	N/A	4	3	4
72	21-30	Male	Comedy, Sci-Fi and Fantasy, Romantic, Drama	3	3	N/A	4	N/A	5	5	4	4	3	3	3	3	3	4	2	2	2	2
471	31-40	Male	Action, Sci-Fi and Fantasy	4	4	N/A	3	N/A	3	4	N/A	N/A	4	3	N/A	N/A	3	4	N/A	N/A	N/A	N/A
668	21-30	Male	Comedy, Action, Sci-Fi and Fantasy, Animation, Drama	5	5	N/A	5	N/A	5	5	N/A	N/A	3	4	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
122	21-30	Male	Comedy, Action, Sci-Fi and Fantasy, Independent, Romantic, Animation, Drama	5	5	N/A	5	N/A	5	4	5	4	4	5	N/A	5	3	5	N/A	N/A	N/A	N/A
800	21-30	Female	Comedy, Action, Sci-Fi and Fantasy, Romantic, Animation, Drama	N/A	5	N/A	5	N/A	4	4	N/A	N/A	2	4	N/A	4	2	4	N/A	N/A	N/A	N/A
